band1,band2,band3,band4,band5,band6,band7,band8,band9,band10,band11,band12,band13,band14,band15,band16,band17,band18,band19,band20,band21,band22,band23,AT,,disease severity,spad,WC,number
0.068925,0.061151,0.06764,0.12441,-0.19027,0.3794,0.097747,0.11092,0.088955,0.19121,0.30705,0.46079,0.39869,0.5049,0.63984,0.60786,0.4576,0.57465,0.63271,0.6225,0.50181,0.66757,0.68165,0.12535,0.4,0,43.18,0.81933,69
0.089623,0.065163,0.070533,0.12116,-0.16624,0.37608,0.10805,0.11669,0.093295,0.18846,0.29771,0.42669,0.38288,0.47585,0.59668,0.57503,0.44979,0.54204,0.60129,0.6015,0.48933,0.59661,0.62,0.12535,0.4,0,43.18,0.81933,70
-0.002232,-0.030972,-0.0050783,0.0043161,0.013845,0.049249,0.018368,-0.020347,0.069855,0.067167,0.20192,0.31948,0.31802,0.34175,0.33014,0.38058,0.3802,0.36878,0.35027,0.39393,0.38155,0.37325,0.3388,0.56633,0.4,1,48.089,0.81686,71
0.006368,-0.0042219,0.037421,0.044177,0.030868,0.060247,0.026529,-0.014613,0.081405,0.039469,0.22635,0.24429,0.29954,0.37604,0.35178,0.40117,0.41684,0.38184,0.38688,0.3941,0.36003,0.36243,0.35347,0.56633,0.4,1,48.089,0.81686,72
0.010806,-0.00093215,0.030284,0.048225,0.028883,0.053496,0.024007,-0.027212,0.086535,0.052557,0.2366,0.30658,0.34693,0.40015,0.36608,0.44072,0.45627,0.41294,0.411,0.44654,0.40188,0.39957,0.36213,0.56633,0.4,1,48.089,0.81686,73
-0.016729,-0.038583,0.0052737,0.011799,0.012498,0.050154,0.019282,-0.028347,0.077039,0.058004,0.21817,0.30499,0.32989,0.36502,0.33206,0.40209,0.40035,0.37924,0.37413,0.40144,0.38101,0.37806,0.36121,0.56633,0.4,1,48.089,0.81686,74
-0.0039424,-0.01918,0.019927,0.031594,0.022138,0.053988,0.021071,-0.028402,0.082694,0.050411,0.22947,0.304,0.34606,0.39657,0.35832,0.42775,0.44401,0.40773,0.40621,0.43329,0.40124,0.39871,0.37152,0.56633,0.4,1,48.089,0.81686,75
-0.022388,-0.03733,0.006867,-0.0070137,0.0097244,0.089322,0.022624,0.0079938,0.089705,0.043742,0.19662,0.26519,0.29276,0.34751,0.37806,0.34151,0.34133,0.39177,0.34404,0.33883,0.34835,0.35387,0.40589,0.56633,0.4,1.67,45.2,0.83423,76
-0.024574,-0.035456,0.015465,0.0035537,0.015674,0.094169,0.021633,-0.0024667,0.10048,0.039449,0.23884,0.30041,0.35625,0.43026,0.43252,0.41922,0.4306,0.44083,0.42588,0.41615,0.41107,0.41894,0.4711,0.56633,0.4,1.67,45.2,0.83423,77
0.0078244,-0.0046297,0.029115,0.043571,0.028226,0.053639,0.026829,-0.02185,0.079312,0.045998,0.20973,0.26929,0.31377,0.36417,0.33466,0.41161,0.42152,0.38754,0.38516,0.41537,0.37755,0.37569,0.34664,0.56633,0.4,1.67,45.2,0.83423,78
0.011205,0.0010955,0.040006,0.047495,0.033027,0.058264,0.030325,-0.0095199,0.074163,0.033668,0.19905,0.20874,0.26487,0.33732,0.31912,0.3708,0.38865,0.35415,0.36162,0.37078,0.335,0.3371,0.32512,0.56633,0.4,1.67,45.2,0.83423,79
