band1,band2,band3,band4,band5,disease severity
0.19565,0.11245,0.13904,0.20319,0.32649,1
0.14615,0.093798,0.10195,0.1831,0.31596,1.33
0.27455,0.16068,0.23508,0.25943,0.33039,3.67
0.17385,0.091938,0.12098,0.16978,0.28663,1
0.17447,0.10188,0.12062,0.18467,0.30902,1.33
0.25029,0.15692,0.20011,0.25599,0.33927,2.33
0.23582,0.14692,0.19503,0.24537,0.35059,2.33
0.14764,0.090036,0.097254,0.17023,0.31192,1.33
0.23411,0.15047,0.1946,0.24408,0.34025,1.67
0.26363,0.17079,0.20226,0.27317,0.38284,1.67
0.1426,0.088343,0.099589,0.16647,0.30408,1
0.21762,0.15094,0.1686,0.25674,0.36588,1.33
0.32497,0.20955,0.27532,0.30292,0.36784,3
0.23816,0.15471,0.1911,0.25274,0.36397,1
0.16526,0.089369,0.11002,0.1721,0.30923,1
0.20854,0.12077,0.14875,0.21569,0.33501,1
0.15445,0.088102,0.11267,0.15303,0.26903,1
0.18832,0.11662,0.13785,0.19713,0.32034,1.33
0.21582,0.12626,0.16048,0.21608,0.33014,2
0.20322,0.11297,0.15164,0.1935,0.29718,1
0.17382,0.092993,0.12367,0.15618,0.27694,1
0.14231,0.091874,0.099585,0.17006,0.3045,1.33
0.24147,0.15958,0.21487,0.24848,0.33519,3.67
0.17078,0.087443,0.11879,0.16386,0.28196,1
0.17771,0.10504,0.12398,0.18544,0.31364,1.33
0.24453,0.1617,0.18566,0.2593,0.37409,2.33
0.23709,0.14726,0.19519,0.23885,0.33902,2.33
0.14256,0.088569,0.093876,0.16712,0.31256,1.33
0.23716,0.15287,0.19238,0.24868,0.35826,1.67
0.24939,0.16332,0.19223,0.26873,0.37958,1.67
0.13595,0.084113,0.097178,0.16275,0.29779,1
0.22419,0.15672,0.17074,0.26476,0.37792,1.33
0.33313,0.21653,0.28767,0.31652,0.37787,3
0.22892,0.14991,0.18163,0.25336,0.36265,1
0.16683,0.096211,0.11707,0.17589,0.31401,1
0.19941,0.11303,0.13868,0.19449,0.32615,1
0.14739,0.081964,0.1074,0.14869,0.26092,1
0.20453,0.12589,0.15284,0.20574,0.33614,1.33
0.19177,0.11584,0.13634,0.19159,0.3178,2
0.19969,0.10672,0.15048,0.19222,0.29819,1
0.17625,0.09408,0.13365,0.18364,0.32663,1
0.13891,0.094924,0.10053,0.16817,0.29856,1.33
0.25607,0.17244,0.22404,0.26472,0.36523,3.67
0.15892,0.32079,0.33659,0.26775,0.30838,1.33
0.18265,0.40623,0.34686,0.33857,0.36612,1.33
0.27022,0.56926,0.60494,0.43241,0.37922,2.33
0.23406,0.53441,0.5362,0.39514,0.39519,2.33
0.14352,0.33655,0.29645,0.2818,0.33525,1.67
0.24869,0.55077,0.56232,0.41959,0.39336,2.33
0.27057,0.55472,0.58868,0.40127,0.37702,2.33
0.15091,0.3394,0.30388,0.30331,0.35243,1
0.27184,0.58735,0.5884,0.44748,0.41802,2
0.32146,0.62827,0.69244,0.43931,0.37726,5
0.22447,0.48769,0.49049,0.37337,0.361,2
